Aeropuerto;Ciudad;latitud;longitud
Aeropuerto Jose Maria Velasco Ibarra;Macara;-4,3807913;-79,9436849
Aeropuerto Camilo Ponce Enríquez;Catamayo;-3,996246;-79,3741991
Aeropuerto Chachoan;Ambato;-1,213156;-78,5771455
Aeropuerto Chimborazo;Riobamba;-1,65343;-78,6560974
Aeropuerto Cosme Renella;Salinas;-2,2020466;-80,9924443
Aeropuerto de Gualaquiza;Gualaquiza;-3,4232099;-78,5670013
Aeropuerto de Jipijapa;Jipijapa;-1;-80,6666641
Aeropuerto de Macas;Macas;-2,29917;-78,1207962
Aeropuerto de Nueva Loja;Nueva Loja;0,093056;-76,8675003
Aeropuerto de Pedernales;Pedernales;0,067619;-80,050499
Aeropuerto de Putumayo;Puerto El Carmen;0,083333;-75,9000015
Aeropuerto de San Cristóbal;Puerto Baquerizo Moreno;-0,0910206;-89,6174011
Aeropuerto de Sucúa;Sucúa;-2483;-781669998
Aeropuerto El Carmen;Montalvo;-2,0670099;-76,9757004
Aeropuerto Francisco de Orellana;Francisco De Orellana;-4617447;-76,988412
Aeropuerto General Manuel Serrano;Machala;-3,2688999;-79,9616013
Aeropuerto General Rivadeneira;Esmeraldas;0,978519;-79,6266022
Aeropuerto General Ulpiano Páez;Salinas;-2,2049899;-80,9888992
Aeropuerto Internacional Cotopaxi;Latacunga;-0,906833;-78,615799
Aeropuerto Internacional Eloy Alfaro;Manta;-0,9529062;-80,6863491
Aeropuerto Internacional José Joaquín de Olmedo;Guayaquil;-2,1481499;-79,8863281
Aeropuerto Internacional Jumandy;Tena;-10626;-77,5736
Aeropuerto Internacional Mariscal Sucre;Quito;-0,01225875;-78,3607525
Aeropuerto José María Velasco Ibarra;Macará;-4,3782301;-79,9410019
Aeropuerto Los Perales;Bahía De Caráquez;-0,608111;-80,4027023
Aeropuerto Mariscal Lamar;Cuenca;-2,889444;-78,9866381
Aeropuerto Regional de Santa Rosa;Santa Rosa;-0,34440862;-79,9982671
Aeropuerto Río Amazonas;Mera;-0,150524;-78,0626984
Aeropuerto Seymour;Puerto Ayora;-0,453758;-90,2658997
Aeropuerto Taisha;Taisha;-0,238167;-77,5028
Aeropuerto Tarapoa;Tarapoa;-0,122956;-76,3377991
Aeropuerto Teniente Coronel Luis A. Mantilla;Tulcán;0,809506;-77,7080994
Aeropuerto Tiputini;Nuevo Rocafuerte;-0,776111;-75,5263977
Aeropuerto Baltra;Islas Galapagos;-0,0450361;-90,2705974
Aeropuerto San Cristóbal;Islas Galapagos;-0,09086996;-89,6184289
Aeropuerto Coronel Carlos Concha Torres;Esmeraldas;0,0973982;-79,6263567
Aeropuerto de Lago Agrio;Nueva Loja;0,0925179;-76,8689243
