Nombre;Provincia;Ciudad;Latitud;Longitud
Hospital Provincial Docente Vicente Corral Moscoso;Azuay;Cuenca;-2911199;-78992884
Hospital General Luis G. Dávila;Carchi;Tulcán;0.816686922;-7772010936
Hospital General Docente De Riobamba;Chimborazo;Riobamba;-1681800;-78643909
Hospital Napoleón Córdova;Chone;Manabí;-7060179;-800962263
Hospital General De Latacunga;Cotopaxi;Latacunga;-9364031;-786162278
Hospital San Vicente De Paúl;El Oro;Pasaje;-3330266;-79810954
Hospital Teófilo Dávila;El Oro;Machala;-32404577;-798362812
Hospital Alberto Buffony;Esmeraldas;Quinindé;0.3300956;-79.4731738
Hospital Delfina Torres De Concha;Esmeraldas;Esmeraldas;0.976481;-79654022
Maternidad Mariana De Jesús;Guayas;Guayaquil;-2.2082563;-79.9262803
Hospital Abel Gilbert Pontón;Guayas;Guayaquil;-2.2121407;-79.9325808
Hospital San Luis;Imbabura;Otavalo;0.233218;-78.25968
Hospital Provincial San Vicente De Paúl;Imbabura;Ibarra;0.3531121699;-78.1257872614
Hospital General Isidro Ayora;Loja;Loja;-3.992956;-79.2058505
Hospital Provincial Martín Icaza;Los Ríos;Babahoyo;-1.800028;-79.5381707
Hospital Sagrado Corazón De Jesús;Los Ríos;Quevedo;-1.0371374;-79.4722673
Hospital Nicolás Cotto Infante;Los Ríos;Vinces;-1.5587319;-79.7560998
Hospital Regional Verdi Cevallos;Manabí;Portoviejo;-1.05867;-80.444832
Hospital Rodríguez Zambrano;Manabí;Manta;-0.9539834;-80.7419468
Hospital Miguel H. Alcívar;Manabí;Bahía;-0.6216487;-80.4298139
Hospital General De Macas;Morona Santiago;Macas;-2.28241;-78.12491
Hospital José María Velasco Ibarra;Napo;Tena;-0.986199;-77.818181
Hospital De Cayambe;Pichincha;Cayambe;0.034418;-78.146117
Hospital Alberto Correa Cornejo;Pichincha;Yaruquí;-0.16157;-78.320837
Centro De Salud Hospital De Sangolquí;Pichincha;Sangolquí;-0.329643;-78.443768
Hospital De Machachi;Pichincha;Machachi;-0.511677;-78.569157
Centro De Salud Hospital Cantonal De Nanegalito;Pichincha;Nanegalito;0.063387;-78.679307
Hospital Psiquiátrico Julio Endara;Pichincha;Quito;-0.274951;-78.477789
Hospital Gineco Obstétrico Isidro Ayora;Pichincha;Quito;-0.214767;-78.499725
Hospital De Especialidades Eugenio Espejo;Pichincha;Quito;-0.214369;-78.498387
Hospital Dermatológico Gonzalo Gonzáles;Pichincha;Quito;-0.217666;-78.484659
Hospital Pediátrico Baca Ortiz;Pichincha;Quito;-0.202843;-78.486691
Hospital Enrique Garcés;Pichincha;Quito;-0.243879;-78.541011
Hospital Psiquiátrico San Lazaro;Pichincha;Quito;-0.224116;-78.517177
Hospital Pablo Arturo Suárez;Pichincha;Quito;-0.127164;-78.497546
Hospital De Atencion Integral Del Adulto Mayor;Pichincha;Quito;-0.128014;-78.500894
Hospital La Libertad;Santa Elena;La Libertad;-2.2259634;-80.9212781
Hospital Dr. Gustavo Dominguez Z.;Santo Domingo De Los Tsáchilas;Santo Domingo;-0.2475145;-79.1598515
Hospital Regional Docente De Ambato;Tungurahua;Ambato;-1.231618;-78.6231
