Tipo;Nombre;Dirección;Pais;Provincia;Ciudad;Teléfono;Latitud;Longitud
Municipio;Municipio de Loja;Bolivar & José Antonio Eguiguren;Ecuador;Loja;Loja;(07) 257-0407 ;-3.995799; -79.201977
Municipio;Gobierno Autónomo Municipal de Zamora;Diego de Vaca;Ecuador;ZAMORA CHINCHIPE;Zamora;02 605 316;-4.066866; -78.956579
Municipio;Muy Ilustre Municipalidad de Guayaquil;Pichincha 605;Ecuador;GUAYAS;Guayaquil;(04) 259-4800 ;-2.195225; -79.880915
Municipio;Municipio del Cantón Duran;Cdla. Abel Gilbert III  Bloque C31 y C32 ;Ecuador;GUAYAS;Durán;(04) 255-2603 ;-2.177487; -79.854323
Municipio;GAD Municipal De La Mana;La Maná;Ecuador;COTOPAXI;La Maná;(03) 268-7492 ;-0.939893; -79.224342
Municipio;Municipio de Quevedo;CDLA. MUNICIPAL  AV. EDMUNDO WARD ;Ecuador;LOS RIOS;Quevedo;053 700 160;-1.011013; -79.463709
Municipio;GAD Municipalidad de Ambato;Av Atahualpa & Rio Cutuchi;Ecuador;TUNGURAHUA;Ambato;(03) 299-7800 ;-1.268373; -78.627965
Municipio;Municipio del Distrito Metropolitano de Quito;Venezuela entre Chile y Espejo;Ecuador;PICHINCHA;Quito;1800 456789;-0.220519; -78.511626
Municipio;MUNICIPIO DE CATAMAYO;1 de Mayo y Alonso de Mercadillo;Ecuador;LOJA;Catamayo;07 2676-566 ;-3.985968; -79.355138
Municipio;GAD Municipal de Zaruma;Plaza de la Independencia y Calle 9 de Octubre;Ecuador;EL ORO;Zaruma;07 2973 033 ;-3.692802; -79.610525
Municipio;Municipio de Tulcan;Olmedo y 10 de Agosto ;Ecuador;CARCHI;Tulcán;(06) 980 - 400;0.813978;-77.715.511
Municipio;Municipio de Lago Agrio;Calle 12 de Febrero y Cofanes;Ecuador;SUCUMBIOS;Nueva Loja;+593 62830144 ;0.093776;-76.883.527
Municipio;Gobierno Autónomo Desentralizado Municipal Francisco de Orellana;Napo 11-05 y Uquillas   ;Ecuador;ORELLANA;Puerto Francisco de Orellana;06 299 9060;-0.466045;-76.986.752
Municipio;GAD Municipal de Tena;Barrio Central, Calle Juan Montalvo 277 y Abdón Calderón.;Ecuador;NAPO;Tena;(+593) 62 886 452;-0.999762;-77.814.571
Municipio;GAD Municipal Cantón Pastaza;Francisco de Orellana y Av. 9 de Octubre;Ecuador;PASTAZA;Puyo;+ 593 2885 122;-1.487.535;-77.998.440
Municipio;GADM Riobamba;5 de Junio y José Veloz;Ecuador;CHIMBORAZO;Riobamba;1800 141516;-1.672.935;-78.647.892
;;;;;;;;
"""";;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
